Title,Genre,Duration,Rating,Voting
Séance,Thriller,1h 25m,8.0,27
CTRL,Thriller,1h 39m,6.2,6.4K
Mong Vuot,Thriller,1h 36m,5.0,176
N/A,Thriller,N/A,N/A,N/A
N/A,Thriller,N/A,N/A,N/A
Sway,Thriller,1h 39m,8.1,21
N/A,Thriller,N/A,N/A,N/A
Thiru.Manickam,Thriller,2h 2m,8.0,2.6K
The Clean Up Crew,Thriller,1h 35m,4.2,1.3K
Mafia Wars,Thriller,1h 38m,3.6,296
The Sabarmati Report,Thriller,2h 7m,6.4,25K
S.T.A.L.K.E.R.: Shadow of the Zone,Thriller,1h 11m,4.8,658
Scorched Earth,Thriller,1h 41m,6.7,651
Hijack '93,Thriller,1h 27m,3.8,955
Darkness of Man,Thriller,1h 49m,4.7,3.3K
Unpredictable,Thriller,1h 41m,5.4,424
Logout,Thriller,1h 48m,7.2,1.3K
Taboo: Family Secrets,Thriller,1h 35m,7.1,766
The Diary,Thriller,1h 22m,5.0,1K
Vedaa,Thriller,2h 25m,6.0,4.5K
Operation Valentine,Thriller,2h 13m,5.3,1.6K
Succubus,Thriller,1h 36m,3.5,902
N/A,Thriller,N/A,N/A,N/A
Somebody,Thriller,1h 52m,7.6,93
American Star,Thriller,1h 47m,5.5,2.6K
Out of Control,Thriller,1h 51m,5.7,177
Uninvited,Thriller,1h 33m,5.6,355
Ulajh,Thriller,2h 30m,6.0,24K
KA,Thriller,2h 31m,7.0,1.7K
N/A,Thriller,N/A,N/A,N/A
Ferry 2,Thriller,1h 34m,5.6,4K
Ghost Game,Thriller,1h 26m,3.4,382
Latency,Thriller,1h 34m,4.2,3K
Savi,Thriller,2h 6m,6.1,35K
Rippy,Thriller,1h 23m,4.2,1K
Case of Kondana,Thriller,2h 23m,5.8,727
Following,Thriller,1h 42m,6.5,1.5K
Blood Star,Thriller,1h 37m,6.3,6.2K
Why Do You?,Thriller,1h 43m,5.3,482
Martin,Thriller,2h 27m,2.2,36K
Bhaje Vaayu Vegam,Thriller,2h 16m,6.1,772
Hard Home,Thriller,1h 27m,4.1,744
Matka,Thriller,2h 36m,4.7,609
Kidnapping Inc.,Thriller,1h 47m,6.0,311
Scurry,Thriller,1h 30m,7.6,26
The Death That Awaits,Thriller,1h 42m,5.0,792
Peter Five Eight,Thriller,1h 40m,3.5,1.1K
Run Baby Run,Thriller,1h 38m,4.6,43
Haunted Heart,Thriller,2h 8m,4.7,529
Laws of Man,Thriller,1h 38m,5.0,1.4K
Double Ismart,Thriller,2h 36m,2.9,2.2K
Guilty Pleasure,Thriller,1h 59m,4.7,178
Dancing Village: The Curse Begins,Thriller,2h 2m,5.7,4.3K
Baki Hanma VS Kengan Ashura,Thriller,1h 2m,5.7,2K
Siren,Thriller,2h 34m,6.4,3K
Mother Father Sister Brother Frank,Thriller,1h 25m,5.8,308
The Getaway,Thriller,1h 26m,6.2,81
Blackout,Thriller,2h 2m,6.1,11K
Escape,Thriller,2h 9m,5.7,1.2K
DarkGame,Thriller,1h 40m,4.6,2.9K
The Body,Thriller,1h 56m,6.3,426
Bystanders,Thriller,1h 22m,4.0,397
Maid Droid Origins,Thriller,1h 36m,3.0,339
Angels Fallen: Warriors of Peace,Thriller,1h 43m,4.9,6.5K
Altered Reality,Thriller,1h 38m,6.1,1.2K
Quotation Gang Part 1,Thriller,1h 58m,8.8,29
Eagle,Thriller,2h 39m,5.9,5K
Yudhra,Thriller,2h 22m,4.9,13K
The Cut,Thriller,1h 39m,7.0,108
Cinderella's Revenge,Thriller,1h 25m,3.7,1.2K
We Are Wolves,Thriller,1h 37m,3.4,274
N/A,Thriller,N/A,N/A,N/A
Stranger in the Woods,Thriller,1h 22m,3.5,1.4K
Unspeakable: Beyond the Wall of Sleep,Thriller,1h 30m,4.0,138
Stolen,Thriller,1h 45m,5.7,2.3K
Strangers,Thriller,1h 46m,4.3,416
From Darkness,Thriller,1h 35m,4.9,607
72 Hours,Thriller,1h 27m,4.0,341
Granny,Thriller,40m,8.0,7
Wanted Man,Thriller,1h 25m,4.8,2.6K
Pa Tako Lep Dan Je Bil,Thriller,1h 30m,6.7,96
Darkest Miriam,Thriller,1h 27m,5.8,335
The Neighbor,Thriller,52m,4.9,73
Love Bomb,Thriller,1h 15m,3.0,281
Decoded,Thriller,2h 36m,5.7,476
Don't Mess with Grandma,Thriller,1h 21m,5.5,300
The Train of Death,Thriller,1h 43m,4.7,729
Believer,Thriller,1h 48m,4.6,444
Steal Her Breath,Thriller,1h 50m,5.5,108
EVOL: A Love Story in Reverse,Thriller,2h 2m,5.5,2.4K
Seven Cemeteries,Thriller,1h 24m,4.6,672
Belle,Thriller,1h 40m,5.4,158
Mr. Bachchan,Thriller,2h 30m,3.6,5.3K
Pacific Fear,Thriller,1h 25m,3.5,313
I Am Kathalan,Thriller,1h 55m,6.7,1.3K
Rogue Elements: A Ryan Drake Story,Thriller,44m,4.2,1.1K
N/A,Thriller,N/A,N/A,N/A
Paranoia,Thriller,1h 35m,4.1,409
Curse of the Seven Oceans,Thriller,1h 34m,5.5,530
He Ain't Heavy,Thriller,1h 42m,6.1,387
Sorgavaasal,Thriller,2h 18m,6.6,1.4K
The Intruder,Thriller,1h 41m,4.6,553
Stranger Eyes,Thriller,2h 5m,6.3,371
Operation Blood Hunt,Thriller,1h 33m,3.4,531
Demise,Thriller,2h 15m,4.1,326
Poison Sangga: The Homewrecker's Curse,Thriller,1h 58m,6.8,384
Ruslaan,Thriller,2h,3.3,1.3K
Sattam En Kaiyil,Thriller,2h 4m,7.9,2.3K
Continental Split,Thriller,1h 28m,3.5,577
Rest in Peace,Thriller,1h 45m,5.8,2.4K
Previously Saved Version,Thriller,1h 57m,5.5,473
The Bad Shepherd,Thriller,1h 31m,4.3,850
Hellhound,Thriller,1h 43m,4.3,529
Mom,Thriller,1h 35m,5.2,237
Familia,Thriller,2h,6.9,451
Sheriff,Thriller,2h 13m,6.9,1.2K
Junction,Thriller,1h 38m,5.2,322
Vina: Before 7 Days,Thriller,1h 40m,5.4,612
Gaami,Thriller,2h 27m,6.3,2.1K
Sorop,Thriller,1h 43m,5.4,254
All the Lost Ones,Thriller,1h 46m,3.6,274
Electra,Thriller,1h 25m,5.8,134
Silence 2: The Night Owl Bar Shootout,Thriller,2h 22m,6.2,1.9K
Cheat,Thriller,1h 45m,4.1,221
Once Upon a Time in Hollyweird,Thriller,1h 30m,2.0,153
Shadow Land,Thriller,1h 29m,3.6,481
Karma's a Bitch,Thriller,1h 29m,4.7,46
Bhoothaddam Bhaskar Narayana,Thriller,2h 21m,6.2,294
Heart of the Hunter,Thriller,1h 45m,4.7,2.2K
Karnika,Thriller,2h 17m,3.3,6
Snatched,Thriller,1h 41m,6.0,538
Crakk: Jeetega... Toh Jiyegaa,Thriller,2h 34m,4.7,6.5K
Satyabhama,Thriller,2h 12m,5.8,1.6K
Fresh,Thriller,1h 38m,7.0,72
Bionic,Thriller,1h 50m,4.3,1.8K
Serpent's Path,Thriller,1h 52m,5.8,313
A Strange House,Thriller,1h 50m,5.3,390
White Rose,Thriller,1h 57m,4.3,472
Mørkeland,Thriller,1h 39m,6.2,1.1K
N/A,Thriller,N/A,N/A,N/A
Nefarious,Thriller,1h 25m,7.2,57
Joe Baby,Thriller,1h 26m,5.2,109
Model House,Thriller,1h 25m,4.0,1.1K
She's Obsessed with My Husband,Thriller,1h 28m,4.9,253
Trapped Inn,Thriller,1h 55m,2.7,948
Witch,Thriller,1h 47m,4.9,1.4K
Barroz: Guardian of Treasures,Thriller,2h 35m,3.4,1.1K
DNA,Thriller,2h 36m,5.1,218
