Title,Genre,Duration,Rating,Voting
Kacher Manush Dure Thuiya,Romance,2h 24m,7.8,1.2K
Lobola Man,Romance,1h 48m,4.5,216
Game On,Romance,2h 20m,5.2,2.3K
Liu mang qu mo shi,Romance,1h 44m,5.6,56
Heartbreak Motel,Romance,1h 55m,7.0,321
Him,Romance,1h 20m,7.4,32
Christmas on the Ranch,Romance,1h 26m,6.1,140
Joli joli,Romance,1h 56m,5.5,148
Paper Flowers,Romance,1h 40m,8.5,37
The Lifeguards,Romance,1h 47m,3.7,147
Hold Me Close,Romance,1h 38m,4.8,77
"María, Me Muero",Romance,1h 33m,5.2,123
Prabuthwa Junior Kalashala,Romance,2h 11m,7.0,2.1K
À toute allure,Romance,1h 26m,5.4,239
Shrek 5: The Contract - A Fan Made Film,Romance,1h 24m,7.4,22
Alaap,Romance,2h 25m,6.5,151
One Night in Tokyo,Romance,1h 35m,7.1,93
The Heartbreak Agency,Romance,1h 34m,5.3,747
N/A,Romance,N/A,N/A,N/A
Lady Outlaw,Romance,1h 44m,6.6,26
Ahl Al Kahf,Romance,2h,5.3,296
"Aku Jati, Aku Asperger",Romance,1h 28m,7.6,95
Last Song for You,Romance,1h 46m,7.0,111
PAPmusic - Animation for Fashion,Romance,1h 25m,1.1,198
Meeting Ms. Leigh,Romance,1h 57m,8.8,82
Love You to Debt,Romance,2h 15m,6.2,778
Sureshinteyum Sumalathayudeyum Hridayahariyaya Pranayakatha,Romance,2h 18m,6.0,85
Books & Drinks,Romance,1h 34m,5.1,155
"It's So Big It Hurts, Black Oppa",Romance,1h 1m,5.6,11
Christmas at Plumhill Manor,Romance,1h 27m,6.1,509
Moments We Shared,Romance,2h 11m,5.3,134
A Heart for Christmas,Romance,1h 31m,7.6,102
The Architecture of Love,Romance,1h 50m,6.9,519
N/A,Romance,N/A,N/A,N/A
Midwinter,Romance,1h 35m,6.5,60
Verliefd op Bali,Romance,1h 53m,5.0,338
Momma's Boy,Romance,1h 45m,3.8,49
Dreaming of You,Romance,1h 35m,8.4,63
Christmas in Lagos,Romance,2h,4.7,182
A Christmas of Wonders,Romance,1h 26m,4.9,131
N/A,Romance,N/A,N/A,N/A
N/A,Romance,N/A,N/A,N/A
Shooting My Life's Script,Romance,1h 35m,6.2,344
Umjolo: Day Ones,Romance,1h 26m,4.2,167
A Brooklyn Love Story,Romance,1h 47m,5.3,116
N/A,Romance,N/A,N/A,N/A
That Kind of Love,Romance,2h 16m,5.7,340
Dhruvathaare,Romance,2h 45m,8.0,649
Onegin,Romance,2h 21m,7.0,1.2K
N/A,Romance,N/A,N/A,N/A
Young Lion of the West,Romance,1h 33m,5.3,110
N/A,Romance,N/A,N/A,N/A
Premalo,Romance,2h 8m,7.3,1.1K
Soft Love,Romance,1h 54m,6.8,42
Perdiendo el Juicio,Romance,1h 30m,7.7,21
Jingle Bell Love,Romance,1h 21m,6.1,224
Little Hearts,Romance,2h 16m,5.9,2.6K
Matters of the Heart,Romance,1h 50m,6.8,319
In the Summer Rain,Romance,2h 9m,6.2,21
Life is Filled with So Much of You,Romance,1h 39m,7.2,78
Morando com o Crush,Romance,1h 30m,5.5,190
My Boyfriend Is a Sex Worker,Romance,50m,5.4,17
Ma chi ti conosce,Romance,1h 45m,5.8,146
What Happened in My Black Boyfriend's Room,Romance,1h 2m,5.4,11
Sign Here,Romance,1h 40m,6.2,255
N/A,Romance,N/A,N/A,N/A
N/A,Romance,N/A,N/A,N/A
