Title,Genre,Duration,Rating,Voting
Lumina,Horror,1h 53m,2.1,716
Salem Witch Doll,Horror,1h 16m,2.3,144
Kuyang,Horror,1h 37m,5.2,501
Clickbait: Unfollowed,Horror,1h 30m,4.9,611
Wineville,Horror,1h 40m,4.3,286
Interlopers,Horror,1h 46m,4.9,77
N/A,Horror,N/A,N/A,N/A
Cellphone,Horror,1h 28m,3.0,754
N/A,Horror,N/A,N/A,N/A
Possession: Kerasukan,Horror,1h 34m,3.6,309
The Hunted,Horror,1h 34m,5.2,402
The Monster Beneath Us,Horror,1h 43m,5.4,471
Burning Butterflies,Horror,1h 43m,7.8,95
There's a Zombie Outside,Horror,1h 15m,5.7,69
Shark Girl,Horror,1h 22m,2.6,183
N/A,Horror,N/A,N/A,N/A
The Windigo,Horror,1h 25m,4.6,726
Curse of the Sin Eater,Horror,1h 30m,4.9,815
Soul Reaper,Horror,1h 52m,5.7,329
Perewangan,Horror,1h 49m,5.4,182
N/A,Horror,N/A,N/A,N/A
Guna guna istri muda,Horror,1h 38m,5.2,207
Bad Fish,Horror,1h 24m,3.3,348
Phallacies,Horror,1h 41m,8.5,7
Vincent,Horror,1h 32m,5.1,136
Nokturno,Horror,1h 39m,3.7,232
Haze,Horror,1h 16m,6.4,54
Guardian,Horror,2h,4.0,676
The Omicron Killer,Horror,1h 38m,2.9,600
Bull Shark 3,Horror,1h 16m,3.3,116
Pale Horse,Horror,1h 27m,3.8,79
Butchers Book Three: Bonesaw,Horror,1h 47m,4.9,129
The Waves of Madness,Horror,1h 8m,5.8,116
Pasar Setan,Horror,1h 36m,6.7,62
30 to 45,Horror,1h 58m,3.8,18
The Bad Nun 3,Horror,1h 12m,3.2,281
The Family Business,Horror,1h 29m,8.7,30
N/A,Horror,N/A,N/A,N/A
Naalkane Aayama,Horror,1h 48m,7.2,2.2K
H. P. Lovecraft's the Old Ones,Horror,1h 24m,3.6,416
Z Zone,Horror,1h 23m,3.7,59
Salve Maria,Horror,1h 51m,6.4,526
Solitude,Horror,1h 37m,6.2,47
Last Night at Terrace Lanes,Horror,1h 15m,4.4,657
Alyad Palyad,Horror,2h 9m,6.9,1.2K
Darling,Horror,2h 39m,5.2,759
The Ruse,Horror,1h 45m,6.9,423
A Fisherman's Tale,Horror,1h 43m,6.0,146
The Redemption of Sin,Horror,1h 56m,5.7,240
N/A,Horror,N/A,N/A,N/A
(Pri)sons,Horror,1h 40m,5.0,300
Manipula,Horror,1h 34m,8.4,33
Biaz: Kara Iyenin Laneti,Horror,1h 29m,5.1,405
Art of a Hit,Horror,1h 33m,4.2,221
N/A,Horror,N/A,N/A,N/A
Pusaka,Horror,1h 30m,5.2,201
N/A,Horror,N/A,N/A,N/A
Suckers,Horror,1h 7m,2.4,133
Invited,Horror,1h 11m,5.2,252
Night Talkers,Horror,1h 29m,4.1,103
Do Not Open,Horror,1h 31m,2.6,285
Stupid Games,Horror,1h 26m,4.2,438
Scared to Death,Horror,1h 38m,6.6,34
Jurnal Risa by Risa Saraswati,Horror,1h 32m,4.4,315
Gone with the Dead,Horror,1h 36m,4.1,56
Pater Noster and the Mission of Light,Horror,1h 36m,7.2,145
Virgo,Horror,1h 27m,5.4,104
A Hell of a Difference,Horror,1h 20m,4.8,51
Marni: The Story of Wewe Gombel,Horror,1h 59m,5.8,239
The Book of the Witch,Horror,1h 13m,4.4,148
Within the Pines,Horror,1h 13m,6.3,20
The Stalking,Horror,1h 12m,3.6,53
Yagna,Horror,2h 11m,6.3,1.6K
Skeletons in the Closet,Horror,1h 32m,3.0,580
Spirit Riser,Horror,1h 38m,6.4,40
N/A,Horror,N/A,N/A,N/A
